Nome Locale,ID Elemento,Verifica,Stato
L.T.,1342030,Locale Posizionato,1
L.T.,1342036,Locale Posizionato,1
Circolazione,1342447,Locale Posizionato,1
L.T.,1347938,Locale Posizionato,1
L.T.,1347939,Locale Posizionato,1
Circolazione,1347940,Locale Posizionato,1
Circolazione,1365699,Locale Posizionato,1
Circolazione,1365773,Locale Posizionato,1
Circolazione,1365942,Locale Posizionato,1
Circolazione,1366226,Locale Posizionato,1
Circolazione,1366237,Locale Posizionato,1
Circolazione,1366250,Locale Posizionato,1
Circolazione,1370971,Locale Posizionato,1
Circolazione,1370972,Locale Posizionato,1
Circolazione,1370986,Locale Posizionato,1
Circolazione,1370987,Locale Posizionato,1
Circolazione,1370997,Locale Posizionato,1
Circolazione,1370998,Locale Posizionato,1
Circolazione,1371990,Locale Posizionato,1
Circolazione,1371999,Locale Posizionato,1
L.T.,1372023,Locale Posizionato,1
L.T.,1372032,Locale Posizionato,1
