Nome File,Dimensione,Verifica,Stato
9nnn_J.002_028_PE_ST_M3_04_00.ifc,0.6000 MB,File corretto,1
9nnn_J.002_028_PE_ST_M3_04_00.rvt,15.000 MB,File corretto,1
