GUID,ID,Categoria,Famiglia e Tipo,Stato
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b5ead,745133,Arredi fissi,TELAIO PORTA BATTENTE: 700,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b5eae,745134,Porte,AR_ POR_BAT_Vet_2A_Simmetrica: AR_POR_BAT_Vet_2A_Simmetrica_2400x2400,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b5eaf,745135,Arredi fissi,TELAIO PORTA BATTENTE: 700,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b5eb0,745136,Arredi fissi,TELAIO PORTA BATTENTE: 700,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b60ec,745708,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b62b7,746167,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b6429,746537,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b6488,746632,Porte,AR_ POR_BAT_Vet_2A_Simmetrica: AR_POR_BAT_Vet_2A_Simmetrica_1300x2400,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b648b,746635,Arredi fissi,TELAIO PORTA BATTENTE: 700,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b648c,746636,Arredi fissi,TELAIO PORTA BATTENTE: 700,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b64e9,746729,Porte,AR_ POR_BAT_Vet_2A_Simmetrica: AR_POR_BAT_Vet_2A_Simmetrica_1500x2400,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b64ec,746732,Arredi fissi,TELAIO PORTA BATTENTE: 700,1
5d62b8c8-c0d2-4b45-a239-00b1cb0e6071-000b64ed,746733,Arredi fissi,TELAIO PORTA BATTENTE: 700,1
301f167e-eacb-46cf-bb36-e0092c9e3ce8-000b65cd,746957,Porte,AR_ POR_BAT_All_1A_Opaca: AR_ POR_BAT_All_1A_Opaca_800x2100,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6c16,748566,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6c55,748629,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6d53,748883,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6d83,748931,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6dc6,748998,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6e07,749063,Porte,AR_ POR_BAT_All_1A_Opaca: AR_ POR_BAT_All_1A_Opaca_900x2400,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6ef7,749303,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6fad,749485,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b6fe8,749544,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7087,749703,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b70bd,749757,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7114,749844,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b715a,749914,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7172,749938,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b719b,749979,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b71e5,750053,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7247,750151,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7276,750198,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b72b8,750264,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b734d,750413,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b736a,750442,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b73a4,750500,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b744b,750667,Porte,AR_ POR_SCO_All_1A_Scomparsa: AR_ POR_SCO_All_1A_Scomparsa_900x2400,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b74ce,750798,Porte,AR_ POR_SCO_All_1A_Scomparsa: AR_ POR_SCO_All_1A_Scomparsa_900x2400,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b757c,750972,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b75d1,751057,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b75fb,751099,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7630,751152,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7687,751239,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b76bd,751293,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b76ee,751342,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b779a,751514,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b77cb,751563,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
