Quantità,Modello,Nome del Tipo,ID,Tipo,Stato
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3435807,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3435939,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3435940,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3436638,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3436639,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3436940,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3436941,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3437036,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3437037,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439248,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439249,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439254,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439255,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439257,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439258,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439261,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439262,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439268,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439269,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439274,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439275,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439277,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,3439278,ARC_GEN_MGE_Gen_ManigliaChiave:ARC_GEN_MGE_Gen_ManigliaChiave,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3439281,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3439282,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3439314,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3439315,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3444910,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3444911,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3445799,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3445800,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,3447202,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1
