Nome Parametro,GUID Parametro,Stato
SPE_IMM_I_PrevalenzaNettaRipresa,aa4bbf89-0c61-425a-a5c5-80e187aeddfb,0
SPE_IMM_I_PortataRipresa,e5fc9f99-a7b4-4f7b-ab95-bf980cc627bf,0
SPE_IMM_T_Prevalenza,399b3ea1-5943-464d-9baf-79f204c2cb49,0
SPE_IMM_I_EfficienzaRecuperatore,1784bea3-57eb-47cc-a189-69b1bded4492,0
SPE_IMM_I_TipoUta,82e187a6-b66b-4018-9775-cd5112961c4a,0
SPE_IMM_I_PortataAriaEsterna,14dbafa7-bfdf-4ffe-aad6-436afebe8593,0
SPE_IMM_I_ReazioneAlFuoco,0312f6f8-c601-4e21-bcec-b41366de730f,0
SPE_IMM_T_TipoDiFluido,e610effe-5e58-46c8-85c6-343544f9c43d,0
SPE_LOC_I_ClassificazioneFuoco,bfa82711-9de6-44bb-85a1-8887dbcab04a,0
SPE_LOC_I_CompartimentoAntincendio,2726014c-9469-4f48-99c9-27c7758b0ea0,0
SPE_ILL_T_FlussoLuminoso,599af96d-155b-4a7b-983e-2fd28fd672d0,0
SPE_ILL_I_TemperaturaColore,8626b48b-0999-42d5-b6dd-a494947ab296,0
SPE_ILL_I_SistemaDiRegolazione,5a847798-c78c-4c85-9423-9dc8bedee585,0
SPE_ILL_I_TipoDiOttica,3a79d8a6-53aa-4cf9-9333-8775c195491c,0
SPE_GEN_T_ResistenzaFuoco,602b8d0e-7944-44d8-9282-4a1f83e320fe,0
SPE_GEN_I_TipoCoibentazione,942f1e38-5bd5-46a2-a436-c26c9f06a9d2,0
SPE_FIN_T_AperturaMotorizzata,79e1a078-ba9e-4d63-9757-8788f677f2e3,0
SPE_ANT_T_Gittata,2b0620b3-d361-4093-b655-eabef6aca5f8,1
SPE_ANT_T_FattoreKSprinkler,13c5bcd1-6dd5-432d-8eff-3bb0d19bdfb7,1
SPE_IME_I_CorrenteNominale,3aa58f06-57e1-4774-8231-f8470492c4a1,0
SPE_IME_T_VoltaggioVcc,ac3f9e1c-564c-4432-b813-870418494f8f,0
SPE_IME_T_PotenzaAssorbita,e490c04d-cac2-4d0c-8bbb-dc2310bcff01,0
SPE_IME_T_TipoBatterie,83d21065-2f7c-4f14-a524-b4ccaf171998,0
SPE_IME_T_TipoTelecamera,2875c26e-d09d-4dc6-b3d8-6631eb802c2f,0
SPE_IME_T_VoltaggioVmp,3d72f5ac-0395-4394-b5d5-82ef6e3f788f,0
SPE_IME_T_AlimentazioneElettrica,e9194ab6-a2ea-4520-953d-3f965cf79230,0
SPE_ASC_T_CapienzaAscensore,e262acef-cddd-4bf7-bf3b-09da5c9ff26d,0
SPE_ANE_T_ConducibilitaTermica,ae451b30-f7cb-427f-8230-400bdd41246a,0
SPE_ANE_T_Trasmittanza,d7cd6848-fdc1-49bb-9007-eb87dbbee52f,0
SPE_ANE_T_RapportoEer,e08e444c-2cd9-4ed4-b7cf-2f609978bb37,0
SPE_ANE_T_Cop,861ce3ff-437c-4e65-aeb6-20c645680c4f,0
DIM_ASC_T_LarghezzaPortaAscensore,0737e411-b2da-4abb-9d66-396fa15a533b,0
DIM_ASC_T_LarghezzaCabinaAscensore,a773f83f-ce8d-4afd-b815-f99a7a435bda,0
DIM_ASC_T_AltezzaPortaAscensore,97176081-8afd-492d-870b-2961c4241578,0
DIM_ASC_T_ProfonditaCabinaAscensore,01019bc7-06b3-43b7-92cf-c9fb05de640c,0
DIM_GEN_I_SuperficieEsterna,d4c77721-e9a3-406f-9c75-a29d9b3c5eb0,0
DIM_GEN_T_Lunghezza,5ce4db83-f6b8-4233-9181-d3f87fd0248d,1
DIM_GEN_I_Peso,e982dc9c-2d4d-4e18-92cf-b6d11dad2541,0
DIM_GEN_I_Diametro,a0e9caa2-3259-4608-9266-21db360790ec,1
DIM_GEN_T_Altezza,76dbccab-c79e-490a-a8da-d471c7c90f20,1
DIM_GEN_T_Larghezza,f54d51d4-fae1-418a-bfbb-7ee4cf119030,1
COM_GEN_T_ArticoloEPU,1deaeed8-5596-4088-bfbf-c1375c6b350d,0
IDE_LOC_I_DestinazioneUsoLocale,b6501acf-4a90-4cfb-af1c-9d0554c110f0,0
