GUID,ID,Famiglia e tipo,Livello,Workset,Stato
084de18e-997d-442a-82d0-938bd633dccd-0036368c,3552908,SGS_PA_LPS_ASCENT-DESCENT: SGS_PA_LPS_ASCENT-DESCENT,SGS_TMP_Level 1,Family  : Pipe Accessories : SGS_PA_LPS_ASCENT-DESCENT,1
077a28a9-d1b2-4158-a26b-f48ce8116bb4-0039d30d,3857746,SGS_PA_LPS_CrossConnectorClamp: SGS_PA_LPS_CrossConnectorClamp,SGS_TMP_Level 1,Family  : Pipe Accessories : SGS_PA_LPS_CrossConnectorClamp,1
8f7542d2-185b-46b0-ab8b-4b7d308fe04c-0039de5a,3858905,SGS_PA_LPS_CrossConnectorClamp: SGS_PA_LPS_CrossConnectorClamp,SGS_TMP_Level 1,Family  : Pipe Accessories : SGS_PA_LPS_CrossConnectorClamp,1
8f7542d2-185b-46b0-ab8b-4b7d308fe04c-0039dee0,3858916,SGS_PA_LPS_CrossConnectorClamp: SGS_PA_LPS_CrossConnectorClamp,SGS_TMP_Level 1,Family  : Pipe Accessories : SGS_PA_LPS_CrossConnectorClamp,1
8f7542d2-185b-46b0-ab8b-4b7d308fe04c-0039deef,3858922,SGS_PA_LPS_CrossConnectorClamp: SGS_PA_LPS_CrossConnectorClamp,SGS_TMP_Level 1,Family  : Pipe Accessories : SGS_PA_LPS_CrossConnectorClamp,1
8f7542d2-185b-46b0-ab8b-4b7d308fe04c-0039def4,3858927,SGS_PA_LPS_CrossConnectorClamp: SGS_PA_LPS_CrossConnectorClamp,SGS_TMP_Level 1,Family  : Pipe Accessories : SGS_PA_LPS_CrossConnectorClamp,1
307ec920-3e4f-4dc1-aeb4-10d2e94dbc84-003ddccc,4054220,SGS_PA_LPS_SelfSupportingAirTerminationRod: Air Termination Rod h=2500,SGS_TMP_Level 1,Family  : Pipe Accessories : SGS_PA_LPS_SelfSupportingAirTerminationRod,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e4374,934772,SGS_PowerSupplyBox_XXX: SGS_PowerSupplyBox_AL,SGS_TMP_Level 1,Famiglia  : Raccordi condotto : SGS_PowerSupplyBox_XXX,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e4371,934769,SGS_PowerSupplyBox_XXX: SGS_PowerSupplyBox_Cu,SGS_TMP_Level 1,Famiglia  : Raccordi condotto : SGS_PowerSupplyBox_XXX,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e43ad,934829,SGS_PowerSupplyBox_XXX: SGS_PowerSupplyBox_Cu,SGS_TMP_Level 1,Famiglia  : Raccordi condotto : SGS_PowerSupplyBox_XXX,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e4b,933451,SGS_TF_Accessories_FireRatedMaterial: FireRatedMaterial,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Accessories_FireRatedMaterial,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e4c,933452,SGS_TF_Accessories_Plasterboard_REI_Horizontal: DoubleBoard2x12.5 mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Accessories_Plasterboard_REI_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e4d,933453,SGS_TF_Accessories_Plasterboard_REI_Vertical: DoubleBoard2x12.5 mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Accessories_Plasterboard_REI_Vertical,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e4e,933454,SGS_TF_Accessories_SeismicJoint: 150,SGS_TMP_Level 1,Family  : Cable Tray Fittings : SGS_TF_Accessories_SeismicJoint,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e4f,933455,SGS_TF_Drowned_Bend_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Drowned_Bend_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e50,933456,SGS_TF_Drowned_Bend_Vertical Inside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Drowned_Bend_Vertical Inside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e51,933457,SGS_TF_Drowned_Bend_Vertical Outside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Drowned_Bend_Vertical Outside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e52,933458,SGS_TF_Drowned_CounterFloorJunction(Bocchettone): MT_CounterFloorJunction,SGS_TMP_Level 1,Family  : Cable Tray Fittings : SGS_TF_Drowned_CounterFloorJunction(Bocchettone),1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e53,933459,SGS_TF_Drowned_TransitionBox_1x4: MT_TransitionBox_1x4,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Drowned_TransitionBox_1x4,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e54,933460,SGS_TF_Drowned_TransitionBox_3x4: MT_TransitionBox_3x4,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Drowned_TransitionBox_3x4,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e55,933461,SGS_TF_Ladder_Bend_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Ladder_Bend_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e56,933462,SGS_TF_Ladder_Cross_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Ladder_Cross_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e57,933463,SGS_TF_Ladder_Reducer_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Ladder_Reducer_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e58,933464,SGS_TF_Ladder_Tee_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Ladder_Tee_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e59,933465,SGS_TF_Ladder_Union_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Ladder_Union_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42d0,934608,SGS_TF_Ladder_Union_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Ladder_Union_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42c7,934599,SGS_TF_MeshWire_Bend_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Bend_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42c8,934600,SGS_TF_MeshWire_Bend_Horizontal_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Bend_Horizontal_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42c9,934601,SGS_TF_MeshWire_Bend_Vertical Inside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Bend_Vertical Inside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42ca,934602,SGS_TF_MeshWire_Bend_Vertical Inside_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Bend_Vertical Inside_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42cb,934603,SGS_TF_MeshWire_Bend_Vertical Outside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Bend_Vertical Outside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42cc,934604,SGS_TF_MeshWire_Bend_Vertical Outside_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Bend_Vertical Outside_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42cd,934605,SGS_TF_MeshWire_Cross_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Cross_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42ce,934606,SGS_TF_MeshWire_Reducer_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Reducer_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e42cf,934607,SGS_TF_MeshWire_Tee_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_MeshWire_Tee_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e5a,933466,SGS_TF_Perforated_Bend_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Bend_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e5b,933467,SGS_TF_Perforated_Bend_Horizontal_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Bend_Horizontal_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e5c,933468,SGS_TF_Perforated_Bend_Vertical Inside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Bend_Vertical Inside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e5d,933469,SGS_TF_Perforated_Bend_Vertical Inside_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Bend_Vertical Inside_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e5e,933470,SGS_TF_Perforated_Bend_Vertical Outside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Bend_Vertical Outside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e5f,933471,SGS_TF_Perforated_Bend_Vertical Outside_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Bend_Vertical Outside_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e60,933472,SGS_TF_Perforated_Cross_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Cross_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e61,933473,SGS_TF_Perforated_Reducer_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Reducer_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e62,933474,SGS_TF_Perforated_Tee_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Tee_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e63,933475,SGS_TF_Perforated_Union_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Perforated_Union_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3eb8,933560,SGS_TF_Rectangular_Bend_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Rectangular_Bend_Horizontal,1
