Nome File,Dimensione,Verifica,Stato
9nnn_J.002_028_PE_IE_M3_01_00.ifc,1.7000 MB,File corretto,1
9nnn_J.002_028_PE_IE_M3_01_00.rvt,240.000 MB,File troppo pesante,0
