Categoria,Id Elemento,Famiglia,Stato
Elementi di dettaglio,353180,INC_ElmDet_BulloneDado,1
Elementi di dettaglio,353181,INC_ElmDet_BulloneDado,1
Elementi di dettaglio,353182,INC_ElmDet_BulloneDado,1
Elementi di dettaglio,353185,INC_ElmDet_BulloneDado,1
Elementi di dettaglio,353186,INC_ElmDet_BulloneDado,1
Elementi di dettaglio,353190,INC_ElmDet_BreakLine,1
Elementi di dettaglio,353196,INC_ElmDet_BulloneLato,1
Elementi di dettaglio,353384,INC_ElmDet_TipoL50x5,1
Elementi di dettaglio,353385,INC_ElmDet_TipoL50x5,1
Elementi di dettaglio,353587,INC_ElmDet_BulloneDado,1
Elementi di dettaglio,355409,INC_ElmDet_Hilti2Testa,1
Elementi di dettaglio,355511,INC_ElmDet_TipoUPN200,1
Elementi di dettaglio,355522,INC_ElmDet_M12Corpo,1
Elementi di dettaglio,355542,INC_ElmDet_TipoIPE400,1
Elementi di dettaglio,355859,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,355870,INC_ElmDet_Vite,1
Elementi di dettaglio,355902,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,355949,INC_ElmDet_Vite,1
Elementi di dettaglio,355952,INC_ElmDet_Vite,1
Elementi di dettaglio,355955,INC_ElmDet_Vite,1
Elementi di dettaglio,355958,INC_ElmDet_Vite,1
Elementi di dettaglio,355982,INC_ElmDet_Vite,1
Elementi di dettaglio,356028,INC_ElmDet_Vite,1
Elementi di dettaglio,356031,INC_ElmDet_Vite,1
Elementi di dettaglio,356034,INC_ElmDet_Vite,1
Elementi di dettaglio,356037,INC_ElmDet_Vite,1
Elementi di dettaglio,357121,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,365946,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ8,1
Elementi di dettaglio,365947,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ8,1
Elementi di dettaglio,375837,INC_ElmDet_TipoHEA400,1
Elementi di dettaglio,376142,INC_ElmDet_ElementoCLS,1
Elementi di dettaglio,377491,INC_ElmDet_TipoHEA400,1
Elementi di dettaglio,379076,INC_ElmDet_BreakLine,1
Elementi di dettaglio,379077,INC_ElmDet_BreakLine,1
Elementi di dettaglio,379078,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379168,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379169,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379182,INC_ElmDet_BreakLine,1
Elementi di dettaglio,379222,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379234,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379235,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379248,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379249,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379262,INC_ElmDet_BreakLine,1
Elementi di dettaglio,379293,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379294,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379365,INC_ElmDet_BreakLine,1
Elementi di dettaglio,379366,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379367,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379401,INC_ElmDet_BreakLine,1
Elementi di dettaglio,379462,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379463,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,379483,INC_ElmDet_BreakLine,1
Elementi di dettaglio,379484,INC_ElmDet_BreakLine,1
Elementi di dettaglio,380653,INC_ElmDet_Vite,1
Elementi di dettaglio,380654,INC_ElmDet_Vite,1
Elementi di dettaglio,390614,INC_ElmDet_BreakLine,1
Elementi di dettaglio,390615,INC_ElmDet_BreakLine,1
Elementi di dettaglio,390619,INC_ElmDet_Cavedio,1
Elementi di dettaglio,390629,INC_ElmDet_BreakLine,1
Elementi di dettaglio,390630,INC_ElmDet_BreakLine,1
Elementi di dettaglio,391422,INC_ElmDet_BreakLine,1
Elementi di dettaglio,391423,INC_ElmDet_BreakLine,1
Elementi di dettaglio,391424,INC_ElmDet_BreakLine,1
Elementi di dettaglio,391425,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,391426,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,392228,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,396207,INC_ElmDet_M12Corpo,1
Elementi di dettaglio,396256,INC_ElmDet_BulloneTesta,1
Elementi di dettaglio,396257,INC_ElmDet_BulloneTesta,1
Elementi di dettaglio,396324,INC_ElmDet_TipoUPN200,1
Elementi di dettaglio,396333,INC_ElmDet_BreakLine,1
Elementi di dettaglio,396586,INC_ElmDet_Tassello,1
Elementi di dettaglio,396594,INC_ElmDet_Tassello,1
Elementi di dettaglio,396776,INC_ElmDet_BreakLine,1
Elementi di dettaglio,397880,INC_ElmDet_M12Corpo,1
Elementi di dettaglio,397935,INC_ElmDet_BulloneTesta,1
Elementi di dettaglio,397936,INC_ElmDet_BulloneTesta,1
Elementi di dettaglio,398066,INC_ElmDet_TipoUPN200,1
Annotazioni generiche,399667,INC_AnnGen_SimbSYMB Saldatura d'angolo,1
Annotazioni generiche,399672,INC_AnnGen_SimbSYMB Saldatura d'angolo,1
Elementi di dettaglio,399757,INC_ElmDet_TipoL45x5,1
Elementi di dettaglio,399846,INC_ElmDet_BreakLine,1
Annotazioni generiche,399899,INC_AnnGen_SimbSYMB Saldatura d'angolo,1
Elementi di dettaglio,400739,INC_ElmDet_BreakLine,1
Elementi di dettaglio,400747,INC_ElmDet_BreakLine,1
Elementi di dettaglio,400750,INC_ElmDet_BreakLine,1
Elementi di dettaglio,400751,INC_ElmDet_BreakLine,1
Elementi di dettaglio,464619,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,465041,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,467098,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ8,1
Elementi di dettaglio,467099,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ8,1
Elementi di dettaglio,468822,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,468823,INC_ElmDet_FerroStaffa,1
Elementi di dettaglio,468824,INC_ElmDet_FerroStaffa,1
Elementi di dettaglio,468825,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,468826,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,468833,INC_ElmDet_SimboloFerroGancio,1
Elementi di dettaglio,468834,INC_ElmDet_SimboloFerroGancio,1
Elementi di dettaglio,468835,INC_ElmDet_SimboloFerroGancio,1
Elementi di dettaglio,468836,INC_ElmDet_SimboloFerroGancio,1
Elementi di dettaglio,468838,INC_ElmDet_SingolaBarraArmaturaSezione,1
Elementi di dettaglio,468839,INC_ElmDet_SingolaBarraArmaturaSezione,1
Elementi di dettaglio,468841,INC_ElmDet_SimboloFerroGancio,1
Elementi di dettaglio,468848,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,468851,INC_ElmDet_SingolaBarraArmaturaSezione,1
Elementi di dettaglio,468852,INC_ElmDet_SingolaBarraArmaturaSezione,1
Elementi di dettaglio,473953,INC_ElmDet_FerroStaffa,1
Elementi di dettaglio,473957,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,473961,INC_ElmDet_FerroStaffa,1
Elementi di dettaglio,473964,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,481267,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,481278,INC_ElmDet_Vite,1
Elementi di dettaglio,481388,INC_ElmDet_Vite,1
Elementi di dettaglio,481391,INC_ElmDet_Vite,1
Elementi di dettaglio,481394,INC_ElmDet_Vite,1
Elementi di dettaglio,481397,INC_ElmDet_Vite,1
Elementi di dettaglio,481487,INC_ElmDet_Vite,1
Elementi di dettaglio,481508,INC_ElmDet_TipoHEA340,1
Annotazioni generiche,481545,INC_AnnGen_SimbEditabileEstremitàGrigliaSTR,1
Elementi di dettaglio,481566,INC_ElmDet_Vite,1
Elementi di dettaglio,481578,INC_ElmDet_TipoHEA340,1
Annotazioni generiche,481587,INC_AnnGen_SimbEditabileEstremitàGrigliaSTR,1
Elementi di dettaglio,481659,INC_ElmDet_Vite,1
Elementi di dettaglio,501550,INC_ElmDet_FerriSezioneDoppi,1
Elementi di dettaglio,501551,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,501552,INC_ElmDet_SingolaBarraArmaturaSezione,1
Elementi di dettaglio,501554,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,1
Elementi di dettaglio,501773,INC_ElmDet_FerroStaffa,1
Elementi di dettaglio,502008,INC_ElmDet_SimboloFerroC,1
Elementi di dettaglio,502128,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,502233,INC_ElmDet_SimboloFerroI,1
Elementi di dettaglio,502390,INC_ElmDet_SimboloFerroStaffa,1
Elementi di dettaglio,502528,INC_ElmDet_SimboloFerroGancio,1
Elementi di dettaglio,508152,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,508154,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,508155,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,508157,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,508158,INC_ElmDet_FerroStaffa,1
Elementi di dettaglio,508162,INC_ElmDet_BreakLine,1
Elementi di dettaglio,508163,INC_ElmDet_BreakLine,1
Elementi di dettaglio,508164,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,508165,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,508166,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,508167,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,508168,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,508169,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,508177,INC_ElmDet_SimboloFerroC,1
Elementi di dettaglio,508179,INC_ElmDet_SimboloFerroC,1
Elementi di dettaglio,508183,INC_ElmDet_SimboloFerroI,1
Elementi di dettaglio,508184,INC_ElmDet_SimboloFerroI,1
Elementi di dettaglio,508212,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,508213,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,508217,INC_ElmDet_FerriSezioneSingoli,1
Elementi di dettaglio,508219,INC_ElmDet_BreakLine,1
Elementi di dettaglio,508220,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,508221,INC_ElmDet_SimboloFerroL,1
Elementi di dettaglio,508226,INC_ElmDet_BreakLine,1
Annotazioni generiche,508229,INC_AnnGen_Titolo,1
Annotazioni generiche,508231,INC_AnnGen_Titolo,1
Elementi di dettaglio,508234,INC_ElmDet_SimboloFerroGancio,1
Elementi di dettaglio,508235,INC_ElmDet_SimboloFerroGancio,1
Elementi di dettaglio,508236,INC_ElmDet_FerriSezioneSingoli,1
