Raggruppamento,UR01,AR01,AR02,AR03,AR04,AR05,FA01,IE01,IM01,IM02,ST01,ST02,ST03,ST04,%,Stato
pGI e Allegati,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Elaborati Progettuali,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Clash Detection,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0
ACDat,100%,66.67%,66.67%,66.67%,100%,100%,100%,66.67%,100%,100%,66.67%,66.67%,66.67%,66.67%,81%,0
Collegamenti Modello Nativo,-,100%,100%,100%,100%,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Georeferenziazione e Orientamento,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Griglie e Livelli,100%,100%,100%,97.46%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Integrità e Pulizia File,79.89%,94.39%,94.49%,94.61%,94.29%,81.8%,80.38%,79.84%,72.34%,86.18%,92.46%,91.76%,90.99%,92.06%,88%,0
Verifica Informativa,-,68.34%,66.73%,66.91%,66.07%,69.61%,69.58%,59.28%,60.02%,73.13%,70.06%,69.23%,70.77%,41.22%,65%,0
Verifica LOIN Geometrico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Naming Convention,-,100%,99.76%,99.42%,100%,99.73%,100%,47.76%,38.02%,49.6%,100%,91.76%,100%,92.97%,86%,0
Regole Modellazione,-,96.3%,92.5%,95.25%,98.2%,99.79%,99.32%,89.1%,43.17%,91.95%,96.82%,100%,93.68%,99.57%,92%,1
Specifiche Impianti,-,-,-,-,-,-,-,50%,100%,0%,-,-,-,-,50%,0
Unità di misura,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
