Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_AR_M3_01_00.ifc,Verifica Corretta,120.117 MB,1
9nnn_J.002_028_PE_AR_M3_01_00.rvt,Verifica Corretta,146.027 MB,1
