Nome File,Versione File,Verifica,Stato
9nnn_J.002_028_PS_ST_M3_02_00.ifc,IFC4X3,Versione conforme.,1
9nnn_J.002_028_PE_ST_M3_02_00.rvt,2024,Versione conforme.,1
