Categoria,Nome Elemento,ID Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848339,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848488,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848497,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848505,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848517,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848527,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848535,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848545,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848555,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848565,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848573,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848725,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848736,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848746,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848756,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848766,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848774,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848782,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848790,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848798,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848806,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848880,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848892,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848902,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848912,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848922,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848932,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848942,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848950,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848962,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848972,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848980,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,848990,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,849002,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,849012,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,849020,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,849030,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
Collegamenti strutturali,ST_CST_PBA_Acc_Circolare,849040,ST_LIV_PE_P00_-0.80m,-,-,0.0,Oggetto conforme.,1
