Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,719643,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,722652,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,722690,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,722729,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,731604,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,731710,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,732026,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,732043,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,732730,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,732785,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,732947,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,733176,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,733214,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749387,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749388,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749389,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749390,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749391,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749394,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749395,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749396,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749397,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749518,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749519,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749520,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749521,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749522,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749524,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749525,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749526,Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,Dettagliato,749527,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,804501,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,810425,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,811428,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,825169,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,825441,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,832356,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,832511,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,836215,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,836256,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,846192,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,846201,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,846202,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,846203,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,846415,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,857804,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,871074,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,871139,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,871605,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,871679,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,872351,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,872413,Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,906812,Corretta,1
