Quantità,Modello,Type Name,ID,Livello,IFC Element,Verifica,Stato
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843666,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843667,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843668,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843669,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843670,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843671,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843672,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843673,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843674,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843675,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843676,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843677,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843678,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843679,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843688,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843689,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843690,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843691,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843692,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843693,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843694,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843695,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843696,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843697,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843698,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843699,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843700,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843701,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843702,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843703,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843704,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843705,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843706,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843707,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843708,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843709,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843710,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843711,,,Corretta,1
1,ST_FON_PAL_PaloCalcestruzzo:ST_FON_PAL_Car_Ø600x10000,9nnn_J.002_028_PE_ST_M3_02_00,843712,,,Corretta,1
