Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_IE_M3_01_00.ifc,Verifica Corretta,157.745 MB,1
9nnn_J.002_028_PE_IE_M3_01_00.rvt,Peso Eccessivo,374.160 MB,0
