Nome File,Dimensione,Verifica,Stato
9002_J.002_028_PE_UR_M3_01_00.ifc,0.200 MB,File corretto,1
9002_J.002_028_PE_UR_M3_01_00.rvt,7.000 MB,File corretto,1
