Nome File,Versione File,Verifica,Stato
9nnn_J.002_028_PE_UR_M3_01_00.ifc,IFC4X3,Versione conforme.,1
9002_J.002_028_PE_UR_M3_01_00.rvt,2024,Versione conforme.,1
