Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_AR_M3_02_00.ifc,Verifica Corretta,122.658 MB,1
9nnn_J.002_028_PE_AR_M3_02_00.rvt,Peso Eccessivo,238.664 MB,0
