Nome Materiale,ID Elemento,Verifica,Stato
Render Material 127-63-0,619854,Codice non trovato nel database,0
Render Material 127-0-0,619891,Codice non trovato nel database,0
Render Material 82-145-165,619900,Codice non trovato nel database,0
Render Material 63-95-127,619949,Codice non trovato nel database,0
Render Material 38-0-0,620094,Codice non trovato nel database,0
Render Material 82-165-103,620199,Codice non trovato nel database,0
Render Material 127-127-63,620242,Codice non trovato nel database,0
Render Material 95-127-0,620271,Codice non trovato nel database,0
Render Material 127-255-127,620386,Codice non trovato nel database,0
Render Material 124-165-0,620405,Codice non trovato nel database,0
Render Material 127-255-191,620454,Codice non trovato nel database,0
Render Material 95-0-127,620643,Codice non trovato nel database,0
Render Material 38-76-38,620646,Codice non trovato nel database,0
Render Material 76-38-0,620651,Codice non trovato nel database,0
Render Material 57-38-126,620666,Codice non trovato nel database,0
Render Material 0-63-127,620827,Codice non trovato nel database,0
Render Material 76-0-19,620978,Codice non trovato nel database,0
Render Material 23-38-19,621361,Codice non trovato nel database,0
Render Material 38-47-126,621363,Codice non trovato nel database,0
Render Material 124-0-165,651207,Codice non trovato nel database,0
Render Material 63-63-127,651222,Codice non trovato nel database,0
Render Material 0-127-127,651229,Codice non trovato nel database,0
Render Material 0-38-38,651236,Codice non trovato nel database,0
Render Material 127-79-63,651337,Codice non trovato nel database,0
Render Material 57-76-38,651342,Codice non trovato nel database,0
Render Material 76-38-76,651446,Codice non trovato nel database,0
Render Material 0-31-127,652575,Codice non trovato nel database,0
Render Material 127-0-255,652616,Codice non trovato nel database,0
Render Material 255-0-127,652618,Codice non trovato nel database,0
Materiale per il rendering 191-0-255,662775,Codice non trovato nel database,0
Materiale per il rendering 255-255-255,662777,Codice non trovato nel database,0
Materiale per il rendering 0-255-0,662779,Codice non trovato nel database,0
Materiale per il rendering 255-0-255,662781,Codice non trovato nel database,0
Materiale per il rendering 255-255-0,662784,Codice non trovato nel database,0
Materiale per il rendering 0-255-255,662786,Codice non trovato nel database,0
Materiale per il rendering 255-127-255,662789,Codice non trovato nel database,0
Materiale per il rendering 128-128-128,662791,Codice non trovato nel database,0
Materiale per il rendering 0-82-165,662793,Codice non trovato nel database,0
Materiale per il rendering 255-127-0,662796,Codice non trovato nel database,0
Materiale per il rendering 0-255-191,662798,Codice non trovato nel database,0
Materiale per il rendering 0-63-255,662804,Codice non trovato nel database,0
Materiale per il rendering 255-0-191,662806,Codice non trovato nel database,0
