Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_ST_M3_02_00.ifc,Verifica Corretta,5.065 MB,1
9nnn_J.002_028_PE_ST_M3_02_00.rvt,Verifica Corretta,14.285 MB,1
