Nome File,Verifica,Dimensione,Stato
9nnn_J.002_028_PE_ST_M3_04_00.ifc,Verifica Corretta,8.795 MB,1
9nnn_J.002_028_PE_ST_M3_04_00.rvt,Verifica Corretta,55.977 MB,1
