Nome Locale,ID Elemento,Verifica,Stato
WC U,747203,Locale Posizionato,1
Canale sanitario,747239,Locale Posizionato,1
Canale sanitario,747242,Locale Posizionato,1
Canale sanitario,747245,Locale Posizionato,1
Circolazione,747248,Locale Posizionato,1
WC passeggeri,747251,Locale Posizionato,1
L.T.,747260,Locale Posizionato,1
WC STAFF,747263,Locale Posizionato,1
WC STAFF,747266,Locale Posizionato,1
Cleaning,747269,Locale Posizionato,1
WC Family,747272,Locale Posizionato,1
L.T.,747275,Locale Posizionato,1
L.T.,747278,Locale Posizionato,1
Magazzini,747281,Locale Posizionato,1
WC staff,747284,Locale Posizionato,1
WC staff,747287,Locale Posizionato,1
WC staff,747293,Locale Posizionato,1
Spogliatoi staff,747296,Locale Posizionato,1
Magazzini,747306,Locale Posizionato,1
Area di processamento,748038,Locale Posizionato,1
L.T.,748179,Locale Posizionato,1
L.T.,748182,Locale Posizionato,1
L.T.,748191,Locale Posizionato,1
L.T.,748194,Locale Posizionato,1
L.T.,748197,Locale Posizionato,1
L.T.,748200,Locale Posizionato,1
WC passeggeri,748228,Locale Posizionato,1
Circolazione,749230,Locale Posizionato,1
Frontiera,749239,Locale Posizionato,1
Camera,749245,Locale Posizionato,1
Camera,749251,Locale Posizionato,1
WC staff,749254,Locale Posizionato,1
WC staff,749257,Locale Posizionato,1
Camera,749260,Locale Posizionato,1
Circolazione,749263,Locale Posizionato,1
L.T.,749266,Locale Posizionato,1
Circolazione,749269,Locale Posizionato,1
WC staff,749272,Locale Posizionato,1
Dati+QE,749278,Locale Posizionato,1
Capoturno,749281,Locale Posizionato,1
Area di processamento,749287,Locale Posizionato,1
Circolazione,749491,Locale Posizionato,1
L.T.,749679,Locale Posizionato,1
Circolazione,749844,Locale Posizionato,1
Circolazione,750324,Locale Posizionato,1
Frontex,750390,Locale Posizionato,1
Magazzini,752152,Locale Posizionato,1
Servizi al passeggero,753473,Locale Posizionato,1
WC staff,753493,Locale Posizionato,1
Deposito,753496,Locale Posizionato,1
L.T.,753505,Locale Posizionato,1
Open Space,753803,Locale Posizionato,1
Fotosegnalamento,753812,Locale Posizionato,1
Uffico,753815,Locale Posizionato,1
L.T.,753821,Locale Posizionato,1
WC staff,753824,Locale Posizionato,1
WC staff,753827,Locale Posizionato,1
WC staff,753830,Locale Posizionato,1
WC D,753833,Locale Posizionato,1
WC U,753843,Locale Posizionato,1
L.T,753846,Locale Posizionato,1
Retail,753849,Locale Posizionato,1
WC staff,754156,Locale Posizionato,1
WC dis.,754194,Locale Posizionato,1
Area sedute gate,754200,Locale Posizionato,1
Circolazione,754224,Locale Posizionato,1
WC U,755727,Locale Posizionato,1
WC dis.,755731,Locale Posizionato,1
WC D,755734,Locale Posizionato,1
WC Family,755737,Locale Posizionato,1
L.T.,755740,Locale Posizionato,1
L.T.,767793,Locale Posizionato,1
WC dis.,771703,Locale Posizionato,1
WC dis.,771759,Locale Posizionato,1
Magazzino,771762,Locale Posizionato,1
Changing Room,771765,Locale Posizionato,1
WC dis.,771768,Locale Posizionato,1
L.T.,1146364,Locale Posizionato,1
L.T.,1146366,Locale Posizionato,1
L.T.,1146378,Locale Posizionato,1
L.T.,1146380,Locale Posizionato,1
L.T.,1146382,Locale Posizionato,1
Circolazione,1146386,Locale Posizionato,1
Circolazione,1146670,Locale Posizionato,1
Canale sanitario,1147180,Locale Posizionato,1
Area di processamento,1148452,Locale Posizionato,1
Circolazione,1149159,Locale Posizionato,1
WC STAFF,1149268,Locale Posizionato,1
Accodamento,1149379,Locale Posizionato,1
Circolazione,1149595,Locale Posizionato,1
Canale sanitario,1149683,Locale Posizionato,1
Ufficio Rampisti Handler Finger,1149687,Locale Posizionato,1
Circolazione,1150001,Locale Posizionato,1
Ufficio Rampisti Handler Finger,1150005,Locale Posizionato,1
Accodamento,1150116,Locale Posizionato,1
Circolazione,1150553,Locale non posizionato,0
Accodamento,1153468,Locale Posizionato,1
WC staff,1154163,Locale Posizionato,1
Area di processamento,1154569,Locale Posizionato,1
Area desk,1155601,Locale Posizionato,1
Accodamento,1155603,Locale Posizionato,1
Servizi al passeggero,1155665,Locale Posizionato,1
Servizi al passeggero,1155667,Locale Posizionato,1
Servizi al passeggero,1155669,Locale Posizionato,1
Retail,1155671,Locale Posizionato,1
F&B,1155673,Locale Posizionato,1
Circolazione,1156157,Locale Posizionato,1
Circolazione,1156162,Locale Posizionato,1
F&B,1156575,Locale Posizionato,1
F&B,1157793,Locale Posizionato,1
Servizi al passeggero,1158229,Locale Posizionato,1
Servizi al passeggero,1158231,Locale Posizionato,1
Servizi al passeggero,1158233,Locale Posizionato,1
Servizi al passeggero,1158235,Locale Posizionato,1
Servizi al passeggero,1158239,Locale Posizionato,1
Servizi al passeggero,1158243,Locale Posizionato,1
Servizi al passeggero,1159365,Locale Posizionato,1
Accodamento,1159923,Locale Posizionato,1
Circolazione,1159958,Locale Posizionato,1
Retail,1160045,Locale Posizionato,1
Servizi al passeggero,1187668,Locale Posizionato,1
Loc. a disposizione,1187767,Locale Posizionato,1
L.T.,1187769,Locale Posizionato,1
L.T.,1187771,Locale Posizionato,1
Circolazione,1188576,Locale Posizionato,1
Circolazione,1188761,Locale Posizionato,1
Deposito,1188765,Locale Posizionato,1
Cleaning,1188767,Locale Posizionato,1
F&B,1189075,Locale Posizionato,1
Servizi al passeggero,1189530,Locale Posizionato,1
Circolazione,1190303,Locale Posizionato,1
Filtro,1190608,Locale Posizionato,1
F&B,1190610,Locale Posizionato,1
F&B,1191664,Locale Posizionato,1
Circolazione,1191668,Locale Posizionato,1
F&B,1191670,Locale Posizionato,1
Circolazione,1192933,Locale Posizionato,1
Accodamento,1196104,Locale Posizionato,1
Area a disp.,1205973,Locale Posizionato,1
WC staff,1242582,Locale Posizionato,1
WC Family,1243550,Locale Posizionato,1
Circolazione,1244335,Locale Posizionato,1
Circolazione,1250353,Locale Posizionato,1
Circolazione,1250490,Locale Posizionato,1
Filtro,1251904,Locale Posizionato,1
Servizi al passeggero,1264644,Locale Posizionato,1
