Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Verifica,Stato
Attrezzatura elettrica,Gruppo Elettrogeno,Gruppo Elettrogeno  1800kVA,4404728,Corretto,1
Attrezzatura elettrica,Gruppo Elettrogeno,Gruppo Elettrogeno  560kVA,4404758,Corretto,1
Attrezzatura elettrica,Gruppo Elettrogeno,Gruppo Elettrogeno  1800kVA,4404786,Corretto,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4404916,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4404963,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4404990,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4405092,IFC CLASS errata,0
Attrezzatura elettrica,Gruppo Elettrogeno,Gruppo Elettrogeno  560kVA,4405205,Corretto,1
Attrezzatura elettrica,E_DP_UPS,UPS 700kVA,4405569,Corretto,1
Attrezzatura elettrica,E_DP_UPS,UPS 700kVA,4405621,Corretto,1
Attrezzatura elettrica,E_DP_Batterie,UPS,4405629,Corretto,1
Attrezzatura elettrica,E_DP_Batterie,UPS,4405814,Corretto,1
Attrezzatura elettrica,E_DP_Batterie,UPS,4405827,Corretto,1
Attrezzatura elettrica,E_DP_Batterie,UPS,4405829,Corretto,1
Attrezzatura elettrica,E_DP_Batterie,UPS,4405844,Corretto,1
Attrezzatura elettrica,E_DP_Batterie,UPS,4405846,Corretto,1
Attrezzatura elettrica,E_DP_Batterie,UPS,4405848,Corretto,1
Attrezzatura elettrica,E_DP_Batterie,UPS,4405849,Corretto,1
Attrezzatura elettrica,SGS_Data_Center,SGS_Data_Center,4418374,Corretto,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4423536,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4423570,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4423871,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4424416,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4424440,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4424476,IFC CLASS errata,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4428392,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4428416,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4428508,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431420,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431428,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431570,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431576,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431684,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431690,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431924,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431949,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4431973,IFC PREDEF TYPE errato,0
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4434527,Corretto,1
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4434652,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4450120,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4458972,Corretto,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,EL_EE_RIF-A 50KVAR,4477065,Corretto,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4480937,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4484710,IFC CLASS errata,0
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4485324,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4485462,Corretto,1
