Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,Area 1:601352,IfcSpace,,"29,02",Corretta,1
1,Servizi al passeggero A_SPA_001:777469,IfcSpace,,"75,02",Corretta,1
1,F&B B_COM_017:809060,IfcSpace,,"125,79",Corretta,1
1,F&B B_COM_018:809063,IfcSpace,,"94,95",Corretta,1
1,Retail B_COM_019:809065,IfcSpace,,"143,87",Corretta,1
1,L.T. B_LOT_039:809067,IfcSpace,,"20,95",Corretta,1
1,Locale Pulitori B_MAG_012:809374,IfcSpace,,"75,65",Corretta,1
1,Retail B_COM_020:809620,IfcSpace,,"19,13",Corretta,1
1,Retail B_COM_021:809622,IfcSpace,,"123,97",Corretta,1
1,L.T. B_LOT_031:809714,IfcSpace,,"3,08",Corretta,1
1,Retail B_COM_022:809718,IfcSpace,,"52,63",Corretta,1
1,WC D B_ARU_023:811711,IfcSpace,,"68,43",Corretta,1
1,WC dis B_ARU_024:811713,IfcSpace,,"6,08",Corretta,1
1,WC dis B_ARU_025:811715,IfcSpace,,"7,04",Corretta,1
1,L.T. B_LOT_032:811717,IfcSpace,,"14,15",Corretta,1
1,WC passeggeri B_ARU_027:812612,IfcSpace,,"46,14",Corretta,1
1,Deposito B_MAG_011:812696,IfcSpace,,"3,88",Corretta,1
1,F&B B_COM_023:813566,IfcSpace,,"188,26",Corretta,1
1,Circolazione B_CIR_036:815496,IfcSpace,,"560,70",Corretta,1
1,Area sedute gate B_GAT_052:815770,IfcSpace,,"172,31",Corretta,1
1,Servizi al passeggero B_SPA_001:815913,IfcSpace,,"98,72",Corretta,1
1,Magazzino DOAMAN B_MAG_013:818989,IfcSpace,,"29,88",Corretta,1
1,Circolazione B_CIR_037:823472,IfcSpace,,"33,12",Corretta,1
1,Circolazione B_CIR_038:823474,IfcSpace,,"7,41",Corretta,1
1,L.T. B_LOT_033:890078,IfcSpace,,"8,84",Corretta,1
1,L.T. B_LOT_034:890185,IfcSpace,,"9,71",Corretta,1
1,Enti di stato A_UFF_014:1026472,IfcSpace,,"29,60",Corretta,1
1,F&B A_COM_002:1026962,IfcSpace,,"109,31",Corretta,1
1,WC U B_ARU_028:1026997,IfcSpace,,"68,13",Corretta,1
1,Area Orientation B_CIR_040:1028247,IfcSpace,,"352,60",Corretta,1
1,Cleaning B_MAG_010:1029664,IfcSpace,,"9,55",Corretta,1
1,Area desk B_GAT_033:1063796,IfcSpace,,"32,98",Corretta,1
1,Accodamento B_GAT_034:1063798,IfcSpace,,"32,98",Corretta,1
1,Area preimbarco B_GAT_035:1063892,IfcSpace,,"21,10",Corretta,1
1,Area preimbarco B_GAT_036:1066356,IfcSpace,,"32,50",Corretta,1
1,Area desk B_GAT_037:1066358,IfcSpace,,"35,11",Corretta,1
1,Area sedute gate B_GAT_038:1066456,IfcSpace,,"199,17",Corretta,1
1,Area preimbarco B_GAT_039:1070801,IfcSpace,,"29,49",Corretta,1
1,Area desk B_GAT_040:1070803,IfcSpace,,"38,09",Corretta,1
1,Accodamento B_GAT_041:1070805,IfcSpace,,"37,48",Corretta,1
1,Area desk B_GAT_042:1070807,IfcSpace,,"29,44",Corretta,1
1,Area preimbarco B_GAT_043:1070809,IfcSpace,,"23,54",Corretta,1
1,Accodamento B_GAT_044:1070811,IfcSpace,,"29,45",Corretta,1
1,Area preimbarco B_GAT_045:1072862,IfcSpace,,"26,24",Corretta,1
1,Area desk B_GAT_046:1072864,IfcSpace,,"36,01",Corretta,1
1,Accodamento B_GAT_047:1072866,IfcSpace,,"35,37",Corretta,1
1,Area sedute gate B_GAT_048:1092325,IfcSpace,,"123,21",Corretta,1
1,Area sedute gate B_GAT_049:1092328,IfcSpace,,"135,52",Corretta,1
1,Area sedute gate B_GAT_050:1092331,IfcSpace,,"153,65",Corretta,1
1,Accodamento B_GAT_051:1104607,IfcSpace,,"35,11",Corretta,1
1,L.T. B_LOT_035:1109317,IfcSpace,,"10,12",Corretta,1
1,Retail B_COM_025:1556087,IfcSpace,,"9,22",Corretta,1
1,Circolazione A_CIR_025:1591876,IfcSpace,,"20,14",Corretta,1
1,WC dis A_ARU_032:1591888,IfcSpace,,"5,25",Corretta,1
1,L.T. B_LOT_036:1755374,IfcSpace,,"10,06",Corretta,1
1,L.T. B_LOT_037:1755378,IfcSpace,,"7,44",Corretta,1
1,Area Stoccaggio Rifiuti B_LOT_038:1831209,IfcSpace,,"28,89",Corretta,1
1,Deposito Tendiflex DOA OP B_MAG_014:1835225,IfcSpace,,"150,21",Corretta,1
1,Locale Appoggio Facilitatori B_MAG_015:1836491,IfcSpace,,"186,05",Corretta,1
1,Circolazione B_CIR_041:1837018,IfcSpace,,"18,39",Corretta,1
1,DPI Security B_MAG_016:1839281,IfcSpace,,"14,36",Corretta,1
1,WC staff B_ARU_029:1839865,IfcSpace,,"4,35",Corretta,1
1,Deposito B_MAG_017:1843297,IfcSpace,,"12,38",Corretta,1
1,Circolazione B_CIR_039:1908690,IfcSpace,,"14,22",Corretta,1
1,Circolazione B_CIR_042:2027792,IfcSpace,,"370,11",Corretta,1
1,Area 1:601352,IfcSpace,,"0,000",Da compilare DIM_LOC_I_Volume [m³],0
1,Servizi al passeggero A_SPA_001:777469,IfcSpace,,"347,591",Corretta,1
1,F&B B_COM_017:809060,IfcSpace,,"622,330",Corretta,1
1,F&B B_COM_018:809063,IfcSpace,,"470,090",Corretta,1
1,Retail B_COM_019:809065,IfcSpace,,"712,964",Corretta,1
1,L.T. B_LOT_039:809067,IfcSpace,,"82,487",Corretta,1
1,Locale Pulitori B_MAG_012:809374,IfcSpace,,"375,267",Corretta,1
1,Retail B_COM_020:809620,IfcSpace,,"92,514",Corretta,1
1,Retail B_COM_021:809622,IfcSpace,,"604,123",Corretta,1
1,L.T. B_LOT_031:809714,IfcSpace,,"7,503",Corretta,1
1,Retail B_COM_022:809718,IfcSpace,,"258,440",Corretta,1
1,WC D B_ARU_023:811711,IfcSpace,,"184,756",Corretta,1
1,WC dis B_ARU_024:811713,IfcSpace,,"16,417",Corretta,1
1,WC dis B_ARU_025:811715,IfcSpace,,"19,000",Corretta,1
1,L.T. B_LOT_032:811717,IfcSpace,,"70,764",Corretta,1
1,WC passeggeri B_ARU_027:812612,IfcSpace,,"124,761",Corretta,1
1,Deposito B_MAG_011:812696,IfcSpace,,"10,482",Corretta,1
1,F&B B_COM_023:813566,IfcSpace,,"927,007",Corretta,1
1,Circolazione B_CIR_036:815496,IfcSpace,,"2.012,481",Corretta,1
1,Area sedute gate B_GAT_052:815770,IfcSpace,,"620,308",Corretta,1
1,Servizi al passeggero B_SPA_001:815913,IfcSpace,,"354,288",Corretta,1
1,Magazzino DOAMAN B_MAG_013:818989,IfcSpace,,"134,885",Corretta,1
1,Circolazione B_CIR_037:823472,IfcSpace,,"104,202",Corretta,1
1,Circolazione B_CIR_038:823474,IfcSpace,,"22,237",Corretta,1
1,L.T. B_LOT_033:890078,IfcSpace,,"44,221",Corretta,1
1,L.T. B_LOT_034:890185,IfcSpace,,"48,547",Corretta,1
